created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2023-04-27T20:36:41+05:30,1,0,0,156,1,0,0,,,29,0
2023-04-27T20:37:18+05:30,2,476,395,470,516,504,413,,,462.3333333,0
2023-04-27T20:37:33+05:30,3,0,50,3,0,24,26,,,17.16666667,0
2023-04-27T20:37:50+05:30,4,619,265,657,641,432,438,,,508.6666667,1
2023-05-05T17:44:41+05:30,5,2,2,2,2,2,2,,,2,0
2023-05-05T17:44:56+05:30,6,1,2,1,1,1,1,,,1.166666667,0
2023-05-05T17:46:35+05:30,7,0,0,0,0,0,0,,,0,0
2023-05-05T17:47:43+05:30,8,639,432,524,330,537,229,,,448.5,0
2023-05-05T17:47:58+05:30,9,597,603,598,604,608,593,,,600.5,1
2023-05-05T17:48:29+05:30,10,642,1,537,591,321,237,,,388.1666667,0
2023-05-05T17:48:50+05:30,11,169,3,190,181,77,90,,,118.3333333,0
2023-05-05T17:49:05+05:30,12,482,374,0,253,413,62,,,264,0
2023-05-05T17:50:09+05:30,13,212,0,561,435,204,315,,,287.8333333,0
2023-05-05T17:50:31+05:30,14,471,348,467,456,247,216,,,367.5,0
2023-05-05T17:51:46+05:30,15,254,207,2,119,127,14,,,120.5,0
2023-05-05T17:52:37+05:30,16,132,0,0,65,65,1,,,43.83333333,0
2023-05-05T17:53:18+05:30,17,198,1,6,121,170,74,,,95,0
2023-05-05T17:53:50+05:30,18,325,246,6,199,398,464,,,273,0
2023-05-05T17:55:08+05:30,19,2,2,3,6,3,0,,,2.666666667,0
2023-05-05T17:55:56+05:30,20,1,4,4,2,0,0,,,1.833333333,0
2023-05-05T17:56:29+05:30,21,0,1,3,8,3,5,,,3.333333333,0
2023-05-05T17:57:28+05:30,22,130,4,3,67,64,5,,,45.5,0
2023-05-05T17:57:43+05:30,23,174,5,9,94,95,1,,,63,0
2023-05-05T17:58:42+05:30,24,0,5,0,5,1,2,,,2.166666667,0
2023-05-05T17:59:22+05:30,25,4,4,4,4,3,4,,,3.833333333,0
2023-05-05T18:00:29+05:30,26,4,4,4,3,3,3,,,3.5,0
2023-05-05T18:00:45+05:30,27,3,4,4,3,3,3,,,3.333333333,0
2023-05-05T18:01:03+05:30,28,3,4,4,3,3,3,,,3.333333333,0
2023-05-05T18:01:57+05:30,29,2,3,3,4,4,3,,,3.166666667,0
2023-05-05T18:04:20+05:30,30,3,3,3,4,3,3,,,3.166666667,0
2023-05-05T18:04:59+05:30,31,4,3,3,3,3,3,,,3.166666667,0
2023-05-05T18:05:54+05:30,32,3,3,4,3,0,0,,,2.166666667,0
2023-05-05T18:08:33+05:30,33,4,4,3,3,3,4,,,3.5,0
2023-05-05T18:09:25+05:30,34,3,4,3,3,3,3,,,3.166666667,0
2023-05-06T12:53:09+05:30,35,3,2,2,1,2,2,,,2,0
2023-05-06T12:54:26+05:30,36,0,0,0,0,0,0,,,0,0
2023-05-06T12:54:44+05:30,37,0,0,0,0,3,0,,,0.5,0
2023-05-06T12:54:59+05:30,38,653,0,653,653,326,325,,,435,0
2023-05-06T12:55:22+05:30,39,606,613,522,560,610,544,,,575.8333333,1
2023-05-06T12:59:16+05:30,40,0,0,0,2,0,0,,,0.333333333,0
2023-05-06T13:01:22+05:30,41,0,0,0,0,0,0,,,0,0
2023-05-06T13:02:10+05:30,42,0,0,0,0,0,0,,,0,0
2023-05-06T13:03:30+05:30,43,0,0,0,0,0,0,,,0,0
2023-05-06T13:04:23+05:30,44,0,0,0,0,0,0,,,0,0
2023-05-06T13:04:39+05:30,45,0,0,0,0,0,0,,,0,0
2023-05-06T13:05:39+05:30,46,0,0,0,0,0,0,,,0,0
2023-05-06T13:06:07+05:30,47,0,0,0,0,0,0,,,0,0
2023-05-06T13:06:23+05:30,48,0,561,0,0,288,291,,,190,0
2023-05-06T13:08:57+05:30,49,0,0,0,0,0,0,,,0,0
2023-05-06T13:32:31+05:30,50,4,4,4,4,4,4,,,4,0
2023-05-06T13:33:21+05:30,51,0,491,496,247,193,377,,,300.6666667,0
2023-05-06T13:34:16+05:30,52,0,0,0,0,0,0,,,0,0
2023-05-07T16:10:03+05:30,53,0,0,0,0,0,0,,,0,0
2023-05-07T16:10:38+05:30,54,0,0,0,6,6,6,,,3,0
2023-05-07T16:12:22+05:30,55,577,489,526,551,534,506,,,530.5,1
2023-05-07T16:12:39+05:30,56,606,178,563,592,483,478,,,483.3333333,0
2023-05-07T16:13:06+05:30,57,631,594,507,566,612,529,,,573.1666667,1
2023-05-07T16:13:49+05:30,58,622,522,598,611,568,554,,,579.1666667,1
2023-05-07T16:14:12+05:30,59,0,0,324,161,0,161,,,107.6666667,0
2023-05-07T16:14:48+05:30,60,562,469,485,515,481,314,,,471,0
2023-05-07T16:15:28+05:30,61,618,595,333,472,607,451,,,512.6666667,1
2023-05-07T16:16:00+05:30,62,631,551,558,595,592,557,,,580.6666667,1
2023-05-07T16:16:15+05:30,63,403,609,552,480,513,581,,,523,1
2023-05-07T16:16:31+05:30,64,612,574,612,613,594,594,,,599.8333333,1
2023-05-07T16:16:47+05:30,65,607,600,620,615,605,611,,,609.6666667,1
2023-05-07T16:17:03+05:30,66,405,609,615,510,507,612,,,543,1
2023-05-07T16:17:19+05:30,67,587,558,423,512,577,518,,,529.1666667,1
2023-05-07T16:18:07+05:30,68,0,0,287,143,0,135,,,94.16666667,0
2023-05-07T16:18:25+05:30,69,598,572,157,386,585,399,,,449.5,0
2023-05-07T16:18:43+05:30,70,616,556,635,627,586,597,,,602.8333333,1
2023-05-07T16:19:18+05:30,71,634,600,640,637,617,619,,,624.5,1
2023-05-07T16:19:47+05:30,72,614,507,629,622,561,569,,,583.6666667,1
2023-05-07T16:20:03+05:30,73,608,496,598,602,552,545,,,566.8333333,1
2023-05-07T16:20:32+05:30,74,598,419,591,600,518,519,,,540.8333333,1
2023-05-07T16:20:48+05:30,75,590,463,558,581,528,521,,,540.1666667,1
2023-05-07T16:21:03+05:30,76,613,492,611,612,549,541,,,569.6666667,1
2023-05-07T16:21:30+05:30,77,595,520,601,600,563,571,,,575,1
2023-05-07T16:21:45+05:30,78,6,6,368,192,6,194,,,128.6666667,0
2023-05-07T16:22:31+05:30,79,622,595,629,626,604,608,,,614,1
2023-05-07T16:22:47+05:30,80,624,564,579,586,590,527,,,578.3333333,1
2023-05-07T16:23:03+05:30,81,623,589,636,630,607,617,,,617,1
2023-05-07T16:23:22+05:30,82,573,6,487,525,283,229,,,350.5,0
2023-05-07T16:23:40+05:30,83,412,210,287,351,365,297,,,320.3333333,0
2023-05-07T16:24:10+05:30,84,495,271,0,246,387,148,,,257.8333333,0
2023-05-07T16:25:03+05:30,85,613,525,594,585,537,428,,,547,1
2023-05-07T16:25:20+05:30,86,555,441,0,278,500,220,,,332.3333333,0
2023-05-07T16:25:44+05:30,87,583,333,424,529,521,490,,,480,0
2023-05-07T16:26:02+05:30,88,476,334,412,445,408,372,,,407.8333333,0
2023-05-07T16:26:21+05:30,89,564,375,576,570,473,479,,,506.1666667,1
2023-05-07T16:26:37+05:30,90,598,454,497,556,581,561,,,541.1666667,1
2023-05-07T16:27:01+05:30,91,0,0,0,5,5,5,,,2.5,0
2023-05-07T16:27:20+05:30,92,560,5,503,508,248,153,,,329.5,0
2023-05-07T16:28:01+05:30,93,269,0,5,141,141,6,,,93.66666667,0
2023-05-07T16:28:17+05:30,94,0,0,0,0,0,0,,,0,0
2023-05-07T16:28:53+05:30,95,469,370,364,468,500,484,,,442.5,0
2023-05-07T16:29:13+05:30,96,599,570,580,596,603,595,,,590.5,1
2023-05-07T16:29:32+05:30,97,592,390,488,558,549,538,,,519.1666667,1
2023-05-07T16:29:48+05:30,98,482,6,352,416,246,185,,,281.1666667,0
2023-05-07T16:30:03+05:30,99,556,368,492,522,455,417,,,468.3333333,0
2023-05-07T16:30:21+05:30,100,449,9,9,228,202,9,,,151,0
2023-05-07T16:30:57+05:30,101,514,231,432,468,364,322,,,388.5,0
2023-05-07T16:31:13+05:30,102,544,342,467,505,440,401,,,449.8333333,0
2023-05-07T16:31:35+05:30,103,579,593,522,563,586,592,,,572.5,1
2023-05-07T16:31:59+05:30,104,527,474,258,369,430,161,,,369.8333333,0
2023-05-07T16:32:50+05:30,105,576,345,0,288,463,174,,,307.6666667,0
2023-05-07T16:33:05+05:30,106,438,428,0,236,462,376,,,323.3333333,0
2023-05-07T16:33:23+05:30,107,543,520,427,487,544,482,,,500.5,1
2023-05-07T16:33:39+05:30,108,601,518,149,431,559,433,,,448.5,0
2023-05-07T16:33:56+05:30,109,523,238,1,260,377,116,,,252.5,0
2023-05-07T16:34:12+05:30,110,560,443,420,503,511,515,,,492,0
2023-05-07T16:34:30+05:30,111,638,604,637,639,622,623,,,627.1666667,1
2023-05-07T16:34:53+05:30,112,522,390,10,267,461,201,,,308.5,0
2023-05-07T16:35:22+05:30,113,632,616,637,629,614,584,,,618.6666667,1
2023-05-07T16:35:37+05:30,114,501,383,222,325,391,265,,,347.8333333,0
2023-05-07T16:36:04+05:30,115,627,532,603,623,589,598,,,595.3333333,1
2023-05-07T16:36:32+05:30,116,622,437,553,609,570,588,,,563.1666667,1
2023-05-07T16:36:47+05:30,117,522,290,0,271,438,176,,,282.8333333,0
2023-05-07T16:37:05+05:30,118,515,338,0,262,443,174,,,288.6666667,0
2023-05-07T16:37:20+05:30,119,614,413,574,566,475,229,,,478.5,0
2023-05-07T16:37:38+05:30,120,624,620,574,606,630,631,,,614.1666667,1
2023-05-07T16:38:10+05:30,121,636,600,621,616,606,530,,,601.5,1
2023-05-07T16:39:03+05:30,122,0,0,0,0,0,0,,,0,0
2023-05-07T16:39:19+05:30,123,608,523,554,587,573,555,,,566.6666667,1
2023-05-07T16:39:42+05:30,124,625,539,304,463,582,390,,,483.8333333,0
2023-05-07T16:40:12+05:30,125,540,535,301,267,531,263,,,406.1666667,0
2023-05-07T16:40:47+05:30,126,614,586,625,620,593,589,,,604.5,1
2023-05-07T16:41:12+05:30,127,0,0,0,0,0,0,,,0,0
2023-05-07T16:41:27+05:30,128,583,474,0,291,528,236,,,352,0
2023-05-07T16:41:46+05:30,129,0,463,0,4,215,193,,,145.8333333,0
2023-05-07T16:42:01+05:30,130,637,583,616,625,608,584,,,608.8333333,1
2023-05-07T16:42:25+05:30,131,613,489,598,605,555,521,,,563.5,1
2023-05-07T16:42:41+05:30,132,549,373,0,276,468,198,,,310.6666667,0
2023-05-07T16:43:01+05:30,133,588,523,526,570,579,563,,,558.1666667,1
2023-05-07T16:43:54+05:30,134,614,517,622,617,558,557,,,580.8333333,1
2023-05-07T16:44:10+05:30,135,0,0,319,157,0,167,,,107.1666667,0
2023-05-07T16:44:31+05:30,136,592,520,628,614,572,596,,,587,1
2023-05-07T16:44:49+05:30,137,557,217,545,513,251,156,,,373.1666667,0
2023-05-07T16:45:05+05:30,138,580,315,0,290,446,203,,,305.6666667,0
2023-05-07T16:45:21+05:30,139,0,0,570,285,0,284,,,189.8333333,0
2023-05-07T16:45:44+05:30,140,105,0,209,110,0,62,,,81,0
2023-05-07T16:46:58+05:30,141,0,0,0,0,0,0,,,0,0
2023-05-07T16:47:14+05:30,142,0,0,0,13,49,0,,,10.33333333,0
2023-05-07T16:47:33+05:30,143,0,0,282,217,104,263,,,144.3333333,0
2023-05-07T16:47:52+05:30,144,510,525,577,541,509,524,,,531,1
2023-05-07T16:48:48+05:30,145,0,0,484,237,0,235,,,159.3333333,0
2023-05-07T16:49:16+05:30,146,495,0,0,251,263,0,,,168.1666667,0
2023-05-07T16:50:22+05:30,147,0,0,478,233,0,240,,,158.5,0
2023-05-07T16:50:49+05:30,148,556,148,566,563,360,357,,,425,0
2023-05-07T16:51:20+05:30,149,608,455,584,597,536,521,,,550.1666667,1
2023-05-07T16:51:57+05:30,150,611,598,597,600,591,558,,,592.5,1
2023-05-07T16:52:31+05:30,151,428,419,487,485,484,496,,,466.5,0
2023-05-07T16:53:11+05:30,152,560,485,591,575,522,538,,,545.1666667,1
2023-05-07T16:53:27+05:30,153,543,468,584,563,507,527,,,532,1
2023-05-07T16:53:50+05:30,154,618,601,552,584,611,581,,,591.1666667,1
2023-05-07T16:54:06+05:30,155,225,369,474,346,293,376,,,347.1666667,0
2023-05-07T16:54:29+05:30,156,635,596,423,534,617,512,,,552.8333333,1
2023-05-07T16:54:47+05:30,157,558,444,547,553,501,496,,,516.5,1
2023-05-07T16:56:27+05:30,158,574,205,442,489,267,300,,,379.5,0
2023-05-07T16:56:45+05:30,159,612,518,591,605,587,581,,,582.3333333,1
2023-05-07T16:57:13+05:30,160,0,311,11,83,204,232,,,140.1666667,0
2023-05-07T16:57:31+05:30,161,5,5,5,5,4,4,,,4.666666667,0
2023-05-07T16:58:04+05:30,162,0,0,354,178,0,199,,,121.8333333,0
2023-05-07T16:58:22+05:30,163,594,590,583,585,545,482,,,563.1666667,1
2023-05-07T16:58:40+05:30,164,616,554,577,597,589,572,,,584.1666667,1
2023-05-07T16:58:58+05:30,165,526,250,244,345,346,5,,,286,0
2023-05-07T16:59:20+05:30,166,417,0,0,179,163,0,,,126.5,0
2023-05-07T16:59:40+05:30,167,620,552,610,615,590,582,,,594.8333333,1
2023-05-07T17:00:51+05:30,168,561,547,612,585,551,573,,,571.5,1
2023-05-07T17:01:55+05:30,169,534,571,602,562,540,552,,,560.1666667,1
2023-05-07T17:02:11+05:30,170,607,501,585,602,574,566,,,572.5,1
2023-05-07T17:02:42+05:30,171,194,0,166,171,80,97,,,118,0
2023-05-07T17:03:12+05:30,172,490,5,585,558,471,542,,,441.8333333,0
2023-05-07T17:03:31+05:30,173,273,0,473,437,226,432,,,306.8333333,0
2023-05-07T17:04:48+05:30,174,0,0,0,0,0,0,,,0,0
2023-05-07T17:06:00+05:30,175,621,485,560,580,546,491,,,547.1666667,1
2023-05-07T17:06:16+05:30,176,625,611,610,620,620,614,,,616.6666667,1
2023-05-07T17:07:08+05:30,177,116,476,121,78,289,297,,,229.5,0
2023-05-07T17:07:26+05:30,178,602,554,374,528,591,554,,,533.8333333,1
2023-05-07T17:07:56+05:30,179,565,502,270,433,538,425,,,455.5,0
2023-05-07T17:08:36+05:30,180,465,0,322,398,235,147,,,261.1666667,0
2023-05-07T17:08:55+05:30,181,611,588,621,618,606,612,,,609.3333333,1
2023-05-07T17:09:14+05:30,182,279,246,260,274,144,102,,,217.5,0
2023-05-07T17:09:33+05:30,183,527,481,573,547,478,478,,,514,1
2023-05-07T17:09:51+05:30,184,594,591,539,556,557,518,,,559.1666667,1
2023-05-07T17:10:28+05:30,185,342,5,420,383,178,214,,,257,0
2023-05-07T17:10:46+05:30,186,4,6,168,101,4,111,,,65.66666667,0
2023-05-07T17:11:16+05:30,187,614,559,603,609,588,582,,,592.5,1
2023-05-07T17:11:33+05:30,188,0,0,0,0,0,0,,,0,0
2023-05-07T17:11:49+05:30,189,447,260,0,223,353,129,,,235.3333333,0
2023-05-07T17:12:22+05:30,190,311,5,58,155,74,122,,,120.8333333,0
2023-05-07T17:12:38+05:30,191,598,40,500,549,323,274,,,380.6666667,0
2023-05-07T17:12:54+05:30,192,597,33,451,511,296,208,,,349.3333333,0
2023-05-07T17:13:13+05:30,193,591,93,529,561,345,315,,,405.6666667,0
2023-05-07T17:13:42+05:30,194,482,304,183,347,384,226,,,321,0
2023-05-07T17:13:58+05:30,195,617,554,597,608,583,571,,,588.3333333,1
2023-05-07T17:14:13+05:30,196,538,0,594,570,321,304,,,387.8333333,0
2023-05-07T17:14:32+05:30,197,523,98,503,516,348,349,,,389.5,0
2023-05-07T17:14:48+05:30,198,622,155,378,500,383,258,,,382.6666667,0
2023-05-07T17:15:06+05:30,199,376,5,386,362,180,228,,,256.1666667,0
2023-05-07T17:15:24+05:30,200,600,165,391,508,388,305,,,392.8333333,0
2023-05-07T17:15:43+05:30,201,0,0,0,0,0,0,,,0,0
2023-05-07T17:16:51+05:30,202,420,0,0,216,222,0,,,143,0
2023-05-07T17:17:32+05:30,203,571,0,535,562,290,288,,,374.3333333,0
2023-05-07T17:18:25+05:30,204,552,501,0,276,534,259,,,353.6666667,0
2023-05-07T17:18:49+05:30,205,559,619,609,581,586,612,,,594.3333333,1
2023-05-07T17:19:05+05:30,206,5,472,526,275,240,519,,,339.5,0
2023-05-07T17:19:20+05:30,207,480,615,620,551,546,617,,,571.5,1
2023-05-07T17:19:38+05:30,208,570,623,628,599,597,626,,,607.1666667,1
2023-05-07T17:20:02+05:30,209,519,569,579,547,529,546,,,548.1666667,1
2023-05-07T17:20:26+05:30,210,547,581,589,569,567,595,,,574.6666667,1
2023-05-07T17:20:41+05:30,211,542,491,73,326,522,432,,,397.6666667,0
2023-05-07T17:21:08+05:30,212,548,486,480,481,509,331,,,472.5,0
2023-05-07T17:21:40+05:30,213,508,582,554,529,545,565,,,547.1666667,1
2023-05-07T17:22:09+05:30,214,0,0,0,0,0,0,,,0,0
2023-05-07T17:22:25+05:30,215,606,589,601,606,599,605,,,601,1
2023-05-07T17:23:05+05:30,216,619,448,598,611,540,532,,,558,1
2023-05-07T17:23:46+05:30,217,519,0,449,494,452,475,,,398.1666667,0
2023-05-07T17:24:04+05:30,218,615,450,558,577,497,454,,,525.1666667,1
2023-05-07T17:24:19+05:30,219,621,541,562,592,601,573,,,581.6666667,1
2023-05-07T17:25:46+05:30,220,5,5,5,0,0,0,,,2.5,0
2023-05-07T17:27:30+05:30,221,616,461,561,592,548,527,,,550.8333333,1
2023-05-07T17:28:07+05:30,222,630,309,526,578,471,420,,,489,0
2023-05-07T17:28:35+05:30,223,4,4,5,4,0,0,,,2.833333333,0
2023-05-07T17:28:51+05:30,224,624,440,597,614,547,536,,,559.6666667,1
2023-05-07T17:29:10+05:30,225,634,0,437,535,317,219,,,357,0
2023-05-07T17:29:27+05:30,226,589,0,538,565,299,282,,,378.8333333,0
2023-05-07T17:29:53+05:30,227,240,5,4,117,120,0,,,81,0
2023-05-07T17:30:09+05:30,228,0,0,0,0,0,0,,,0,0
2023-05-07T17:31:28+05:30,229,0,0,0,0,0,0,,,0,0
2023-05-07T17:32:28+05:30,230,617,564,0,309,470,19,,,329.8333333,0
2023-05-07T17:32:44+05:30,231,627,573,5,314,600,286,,,400.8333333,0
2023-05-07T17:33:00+05:30,232,533,152,0,277,445,188,,,265.8333333,0
2023-05-07T17:33:51+05:30,233,618,610,5,311,615,306,,,410.8333333,0
2023-05-07T17:34:06+05:30,234,575,407,0,291,526,241,,,340,0
2023-05-07T17:34:21+05:30,235,633,613,4,316,624,308,,,416.3333333,0
2023-05-07T17:34:50+05:30,236,626,606,0,322,612,298,,,410.6666667,0
2023-05-07T17:35:08+05:30,237,628,580,4,316,578,240,,,391,0
2023-05-07T17:35:23+05:30,238,533,471,5,254,405,146,,,302.3333333,0
2023-05-07T17:35:47+05:30,239,543,408,0,265,395,147,,,293,0
2023-05-07T17:36:23+05:30,240,415,4,5,211,210,0,,,140.8333333,0
2023-05-07T17:36:47+05:30,241,484,242,0,248,426,187,,,264.5,0
2023-05-07T17:37:22+05:30,242,617,531,0,311,571,263,,,382.1666667,0
2023-05-07T17:37:40+05:30,243,548,365,5,281,494,245,,,323,0
2023-05-07T17:38:38+05:30,244,0,0,0,0,0,0,,,0,0
2023-05-07T17:38:54+05:30,245,453,319,0,227,367,160,,,254.3333333,0
2023-05-07T17:39:11+05:30,246,251,0,0,128,138,0,,,86.16666667,0
2023-05-07T17:39:27+05:30,247,513,274,4,259,400,147,,,266.1666667,0
2023-05-07T17:39:42+05:30,248,239,0,0,122,118,0,,,79.83333333,0
2023-05-07T17:40:02+05:30,249,514,298,0,258,439,192,,,283.5,0
2023-05-07T17:40:17+05:30,250,593,576,0,298,593,297,,,392.8333333,0
2023-05-07T17:40:36+05:30,251,606,607,5,306,610,307,,,406.8333333,0
2023-05-07T17:40:53+05:30,252,576,525,0,280,481,159,,,336.8333333,0
2023-05-07T17:41:11+05:30,253,548,458,0,275,523,253,,,342.8333333,0
2023-05-07T17:41:30+05:30,254,574,525,0,288,559,273,,,369.8333333,0
2023-05-07T17:41:50+05:30,255,572,442,0,287,506,217,,,337.3333333,0
2023-05-07T17:42:05+05:30,256,582,470,5,292,521,236,,,351,0
2023-05-07T17:42:34+05:30,257,520,332,0,251,374,127,,,267.3333333,0
2023-05-07T17:42:52+05:30,258,560,555,5,285,581,300,,,381,0
2023-05-07T17:43:08+05:30,259,607,510,4,299,478,157,,,342.5,0
2023-05-07T17:43:25+05:30,260,578,497,5,292,543,260,,,362.5,0
2023-05-07T17:43:42+05:30,261,513,256,5,259,385,130,,,258,0
2023-05-07T17:43:58+05:30,262,586,477,0,296,576,287,,,370.3333333,0
2023-05-07T17:44:16+05:30,263,395,0,0,209,238,4,,,141,0
2023-05-07T17:44:31+05:30,264,584,581,0,295,596,297,,,392.1666667,0
2023-05-07T17:44:49+05:30,265,611,523,0,301,496,176,,,351.1666667,0
2023-05-07T17:45:05+05:30,266,570,525,0,285,551,264,,,365.8333333,0
2023-05-07T17:45:23+05:30,267,612,589,5,308,575,266,,,392.5,0
2023-05-07T17:45:42+05:30,268,543,552,0,279,589,301,,,377.3333333,0
2023-05-07T17:46:02+05:30,269,434,278,0,219,371,155,,,242.8333333,0
2023-05-07T17:46:37+05:30,270,339,185,0,144,24,0,,,115.3333333,0
